# iteration,train,valid
0.000000000000000000e+00,-1.109255027510063307e+01,-1.083701133962612140e+01
1.000000000000000000e+00,-1.113528115507577532e+01,-1.082643904813190794e+01
2.000000000000000000e+00,-1.147398201100645210e+01,-1.118860908183948055e+01
3.000000000000000000e+00,-1.155321281849372106e+01,-1.120454111422916732e+01
4.000000000000000000e+00,-1.155588555033167886e+01,-1.119812822504284711e+01
5.000000000000000000e+00,-1.155971411124772530e+01,-1.119316995487988109e+01
6.000000000000000000e+00,-1.156089849159241467e+01,-1.119028044316241299e+01
7.000000000000000000e+00,-1.156095070571267058e+01,-1.119065436663546365e+01
8.000000000000000000e+00,-1.156095287958369333e+01,-1.119099708506702129e+01
9.000000000000000000e+00,-1.156095300357002920e+01,-1.119111608227483323e+01
1.000000000000000000e+01,-1.156095300688542515e+01,-1.119113130642316811e+01
1.100000000000000000e+01,-1.156095300690645544e+01,-1.119113134508213037e+01
1.200000000000000000e+01,-1.156095300690649985e+01,-1.119113129370164827e+01
